Model,Sales_in_thousands,year_resale_value,Engine_size,Horsepower,Wheelbase,Curb_weight,Fuel_capacity,Fuel_efficiency
Acura Integra,16.9,16.4,1.8,140,101.2,2.6,13.2,28
Acura TL,39.4,19.9,3.2,225,108.1,3.5,17.2,25
Acura CL,14.1,18.2,3.2,225,106.9,3.5,17.2,26
Acura RL,8.6,29.7,3.5,210,114.6,3.9,18,22
Audi A4,20.4,22.3,1.8,150,102.6,3,16.4,27
Audi A6,18.8,23.6,2.8,200,108.7,3.6,18.5,22
Audi A8,1.4,39,4.2,310,113,3.9,23.7,21
BMW 323i,19.7,0,2.5,170,107.3,3.2,16.6,26
BMW 328i,9.2,28.7,2.8,193,107.3,3.2,16.6,24
BMW 528i,17.5,36.1,2.8,193,111.4,3.5,18.5,25
Buick Century,91.6,12.5,3.1,175,109,3.4,17.5,25
Buick Regal,39.4,13.7,3.8,240,109,3.5,17.5,23
Buick Park Avenue,27.9,20.2,3.8,205,113.8,3.8,18.5,24
Buick LeSabre,83.3,13.4,3.8,205,112.2,3.6,17.5,25
Cadillac DeVille,63.7,22.5,4.6,275,115.3,4,18.5,22
Cadillac Seville,15.9,27.1,4.6,275,112.2,4,18.5,22
Cadillac Eldorado,6.5,25.7,4.6,275,108,3.8,19,22
Cadillac Catera,11.2,18.2,3,200,107.4,3.8,18,22
Cadillac Escalade,14.8,0,5.7,255,117.5,5.6,30,15
Chevrolet Cavalier,145.5,9.3,2.2,115,104.1,2.7,14.3,27
Chevrolet Malibu,135.1,11.2,3.1,170,107,3.1,15,25
Chevrolet Lumina,24.6,10.3,3.1,175,107.5,3.3,16.6,25
Chevrolet Monte Carlo,42.6,11.5,3.4,180,110.5,3.3,17,27
Chevrolet Camaro,26.4,13,3.8,200,101.1,3.5,16.8,25
Chevrolet Corvette,17.9,36.2,5.7,345,104.5,3.2,19.1,22
Chevrolet Prizm,32.3,9.1,1.8,120,97.1,2.4,13.2,33
Chevrolet Metro,21.9,5.2,1,55,93.1,1.9,10.3,45
Chevrolet Impala,108,0,3.4,180,110.5,3.4,17,27
Dodge Neon,76,7.8,2,132,105,2.6,12.5,29
Dodge Avenger,4.7,12.5,2.5,163,103.7,2.9,15.9,24
Dodge Stratus,71.2,10.2,2.5,168,108,3.1,16,24
Dodge Intrepid,88,12.3,2.7,202,113,3.5,17,24
Dodge Viper,0.9,58.5,8,450,96.2,3.4,19,16
Dodge Ram Pickup,227.1,15.1,5.2,230,138.7,4.5,26,17
Dodge Ram Wagon,16.8,15.5,3.9,175,109.6,4.2,32,15
Dodge Ram Van,31,13.4,3.9,175,127.2,4.3,32,16
Dodge Dakota,111.3,11.3,2.5,120,131,3.6,22,19
Dodge Durango,101.3,0,5.2,230,115.7,4.4,25,17
Dodge Caravan,181.7,12,2.4,150,113.3,3.5,20,24
Ford Escort,70.2,7.4,2,110,98.4,2.5,12.7,30
Ford Mustang,113.4,12.8,3.8,190,101.3,3.2,15.7,24
Ford Contour,35.1,8.8,2.5,170,106.5,2.8,15,25
Ford Taurus,245.8,10.1,3,155,108.5,3.4,16,24
Ford Focus,175.7,10,2,107,103,2.6,13.2,30
Ford Crown Victoria,63.4,14.2,4.6,200,114.7,3.9,19,21
Ford Explorer,276.7,16.6,4,210,111.6,3.9,21,19
Ford Windstar,155.8,13.2,3,150,120.7,3.8,26,21
Ford Expedition,125.3,23.6,4.6,240,119,4.8,26,16
Ford Ranger,220.7,7.9,2.5,119,117.5,3.1,20,23
Ford F-Series,540.6,15.1,4.6,220,138.5,4.2,25.1,18
Honda Civic,199.7,9.9,1.6,106,103.2,2.3,11.9,32
Honda Accord,230.9,13.2,2.3,135,106.9,2.9,17.1,27
Honda CR-V,73.2,17.7,2,146,103.2,3.2,15.3,24
Honda Passport,12.9,17.5,3.2,205,106.4,3.9,21.1,19
Honda Odyssey,76,19.5,3.5,210,118.1,4.3,20,23
Hyundai Accent,41.2,5.9,1.5,92,96.1,2.2,11.9,31
Hyundai Elantra,66.7,7.8,2,140,100.4,2.6,14.5,27
Hyundai Sonata,29.5,8.9,2.4,148,106.3,3.1,17.2,25
Infiniti I30,23.7,19.7,3,227,108.3,3.3,18.5,25
Jaguar S-Type,15.5,0,3,240,114.5,3.7,18.4,21
Jeep Wrangler,55.6,13.5,2.5,120,93.4,3,19,17
Jeep Cherokee,80.6,13.8,4,190,101.4,3.2,20,20
Jeep Grand Cherokee,157,18.8,4,195,105.9,3.9,20.5,19
Lexus ES300,24.1,27,3,210,105.1,3.4,18.5,23
Lexus GS300,12.7,32.1,3,225,110.2,3.6,19.8,23
Lexus GS400,3.3,0,4,300,110.2,3.7,19.8,21
Lexus LS400,6.4,40.4,4,290,112.2,3.9,22.5,22
Lexus LX470,9.1,0,4.7,230,112.2,5.4,25.4,15
Lexus RX300,51.2,0,3,220,103,3.9,17.2,21
Lincoln Continental,13.8,20.5,4.6,275,109,3.9,20,22
Lincoln Town car,48.9,21.7,4.6,215,117.7,4.1,19,21
Lincoln Navigator,22.9,0,5.4,300,119,5.4,30,15
Mercedes-B C-Class,18.4,26.1,2.3,185,105.9,3.3,16.4,26
Mercedes-B E-Class,27.6,41.5,3.2,221,111.5,3.8,21.1,25
Mercedes-B S-Class,16.8,50.4,4.3,275,121.5,4.1,23.2,21
Mercedes-B SL-Class,3.3,58.6,5,302,99,4.1,21.1,20
Mercedes-B SLK,8,0,2.3,190,94.5,3.1,15.9,26
Mercedes-B SLK230,1.5,0,2.3,185,94.5,3,14,27
Mercedes-B CLK Coupe,11.6,0,3.2,215,105.9,3.2,16.4,26
Mercedes-B CL500,1,0,5,302,113.6,4.1,23.2,20
Mercedes-B M-Class,29,0,3.2,215,111,4.4,19,20
Nissan Sentra,42.6,8.5,1.8,126,99.8,2.6,13.2,30
Nissan Altima,88.1,11.3,2.4,155,103.1,3,15.9,25
Nissan Maxima,79.9,15.1,3,222,108.3,3.3,18.5,25
Nissan Quest,27.3,15.4,3.3,170,112.2,4,20,21
Nissan Pathfinder,42.6,17.8,3.3,170,106.3,3.9,21,19
Nissan Xterra,54.2,0,3.3,170,104.3,3.8,19.4,18
Nissan Frontier,65,0,3.3,170,116.1,3.2,19.4,18
Porsche Boxter,9,41.3,2.7,217,95.2,2.8,17,22
Porsche Carrera Coupe,1.3,60.6,3.4,300,92.6,3,17,21
Porsche Carrera Cabrio,1.9,67.6,3.4,300,92.6,3.1,17,23
Subaru Outback,47.1,0,2.5,165,103.5,3.4,16.9,25
Subaru Forester,33,0,2.5,165,99.4,3.1,15.9,24
Toyota Corolla,142.5,10,1.8,120,97,2.4,13.2,33
Toyota Camry,248,13.2,2.2,133,105.2,3,18.5,27
Toyota Avalon,63.8,18.1,3,210,107.1,3.4,18.5,26
Toyota Celica,33.3,15.4,1.8,140,102.4,2.4,14.5,31
Toyota Tacoma,84.1,9.6,2.4,142,103.3,2.6,15.1,23
Toyota Sienna,65.1,0,3,194,114.2,3.8,20.9,22
Toyota RAV4,25.1,13.3,2,127,94.9,2.7,15.3,27
Toyota 4Runner,68.4,19.4,2.7,150,105.3,3.4,18.5,23
Toyota Land Cruiser,9.8,34.1,4.7,230,112.2,5.1,25.4,15
Volvo S40,17,0,1.9,160,100.5,3,15.8,25
Volvo V40,3.5,0,1.9,160,100.5,3,15.8,25
Volvo S70,15.2,0,2.4,168,104.9,3.2,17.9,25
Volvo V70,17.5,0,2.4,168,104.9,3.3,17.9,25
Volvo C70,3.5,0,2.3,236,104.9,3.6,18.5,23
Volvo S80,19,0,2.9,201,109.9,3.6,21.1,24
