,v1,v2,correlation
0,Sales_in_thousands,Sales_in_thousands,1.0
1,Sales_in_thousands,year_resale_value,-0.15
2,Sales_in_thousands,Engine_size,-0.03
3,Sales_in_thousands,Horsepower,-0.28
4,Sales_in_thousands,Wheelbase,0.39
5,Sales_in_thousands,Curb_weight,-0.03
6,Sales_in_thousands,Fuel_capacity,0.06
7,Sales_in_thousands,Fuel_efficiency,-0.0
8,year_resale_value,Sales_in_thousands,-0.15
9,year_resale_value,year_resale_value,1.0
10,year_resale_value,Engine_size,0.36
11,year_resale_value,Horsepower,0.52
12,year_resale_value,Wheelbase,-0.07
13,year_resale_value,Curb_weight,0.08
14,year_resale_value,Fuel_capacity,0.12
15,year_resale_value,Fuel_efficiency,-0.18
16,Engine_size,Sales_in_thousands,-0.03
17,Engine_size,year_resale_value,0.36
18,Engine_size,Engine_size,1.0
19,Engine_size,Horsepower,0.83
20,Engine_size,Wheelbase,0.44
21,Engine_size,Curb_weight,0.74
22,Engine_size,Fuel_capacity,0.67
23,Engine_size,Fuel_efficiency,-0.72
24,Horsepower,Sales_in_thousands,-0.28
25,Horsepower,year_resale_value,0.52
26,Horsepower,Engine_size,0.83
27,Horsepower,Horsepower,1.0
28,Horsepower,Wheelbase,0.21
29,Horsepower,Curb_weight,0.57
30,Horsepower,Fuel_capacity,0.46
31,Horsepower,Fuel_efficiency,-0.57
32,Wheelbase,Sales_in_thousands,0.39
33,Wheelbase,year_resale_value,-0.07
34,Wheelbase,Engine_size,0.44
35,Wheelbase,Horsepower,0.21
36,Wheelbase,Wheelbase,1.0
37,Wheelbase,Curb_weight,0.66
38,Wheelbase,Fuel_capacity,0.68
39,Wheelbase,Fuel_efficiency,-0.51
40,Curb_weight,Sales_in_thousands,-0.03
41,Curb_weight,year_resale_value,0.08
42,Curb_weight,Engine_size,0.74
43,Curb_weight,Horsepower,0.57
44,Curb_weight,Wheelbase,0.66
45,Curb_weight,Curb_weight,1.0
46,Curb_weight,Fuel_capacity,0.86
47,Curb_weight,Fuel_efficiency,-0.81
48,Fuel_capacity,Sales_in_thousands,0.06
49,Fuel_capacity,year_resale_value,0.12
50,Fuel_capacity,Engine_size,0.67
51,Fuel_capacity,Horsepower,0.46
52,Fuel_capacity,Wheelbase,0.68
53,Fuel_capacity,Curb_weight,0.86
54,Fuel_capacity,Fuel_capacity,1.0
55,Fuel_capacity,Fuel_efficiency,-0.82
56,Fuel_efficiency,Sales_in_thousands,-0.0
57,Fuel_efficiency,year_resale_value,-0.18
58,Fuel_efficiency,Engine_size,-0.72
59,Fuel_efficiency,Horsepower,-0.57
60,Fuel_efficiency,Wheelbase,-0.51
61,Fuel_efficiency,Curb_weight,-0.81
62,Fuel_efficiency,Fuel_capacity,-0.82
63,Fuel_efficiency,Fuel_efficiency,1.0
